🇨🇳央视频道,#genre#
CCTV1综合,https://php.61073736.repl.co/sxg.php?id=CCTV-1H265_4000
CCTV2财经,https://php.61073736.repl.co/sxg.php?id=CCTV-2H265_4000
CCTV3综艺,https://php.61073736.repl.co/sxg.php?id=CCTV-3H265_4000
CCTV4中文国际,https://php.61073736.repl.co/sxg.php?id=CCTV-4H265_4000
CCTV5体育,https://php.61073736.repl.co/sxg.php?id=CCTV-5H265_4000
CCTV5+,https://php.61073736.repl.co/sxg.php?id=CCTV-5plusH265_4000
CCTV6电影,https://php.61073736.repl.co/sxg.php?id=CCTV-6H265_4000
CCTV7国防军事,https://php.61073736.repl.co/sxg.php?id=CCTV-7H265_4000
CCTV8电视剧,https://php.61073736.repl.co/sxg.php?id=CCTV-8H265_4000
CCTV9纪录,https://php.61073736.repl.co/sxg.php?id=CCTV-9H265_4000
CCTV10科教,https://php.61073736.repl.co/sxg.php?id=CCTV-10H265_4000
CCTV11戏曲,https://php.61073736.repl.co/sxg.php?id=CCTV-11-H265_4000
CCTV12社会与法,https://php.61073736.repl.co/sxg.php?id=CCTV-12H265_4000
CCTV13新闻,https://php.61073736.repl.co/sxg.php?id=CCTV-xw_4000
CCTV14少儿,https://php.61073736.repl.co/sxg.php?id=CCTV-14H265_4000
CCTV15音乐,https://php.61073736.repl.co/sxg.php?id=CCTV-15-yyH265_4000
CCTV16奥林匹克,https://php.61073736.repl.co/sxg.php?id=CCTV-16_4000
CCTV16(4K),https://php.61073736.repl.co/sxg.php?id=CCTV-16-4K_8000
CCTV17农业农村,https://php.61073736.repl.co/sxg.php?id=CCTV-17_4000

﻿🇨🇳卫视频道,#genre#
江西卫视,https://php.61073736.repl.co/sxg.php?id=jxwsH265_4000
湖南卫视,https://php.61073736.repl.co/sxg.php?id=hnwsH265_4000
浙江卫视,https://php.61073736.repl.co/sxg.php?id=zjwsH265_4000
安徽卫视,https://php.61073736.repl.co/sxg.php?id=ahwsH265_4000
北京卫视,https://php.61073736.repl.co/sxg.php?id=bjwsH265_4000
兵团卫视,https://php.61073736.repl.co/sxg.php?id=btws_4000
重庆卫视,https://php.61073736.repl.co/sxg.php?id=cqwsH265_4000
东方卫视,https://php.61073736.repl.co/sxg.php?id=dfwsH265_4000
东南卫视,https://php.61073736.repl.co/sxg.php?id=dnwsfjwsH265_4000
甘肃卫视,https://php.61073736.repl.co/sxg.php?id=gsws_4000
广东卫视,https://php.61073736.repl.co/sxg.php?id=gdwsH265_4000
广西卫视,https://php.61073736.repl.co/sxg.php?id=gxws_4000
贵州卫视,https://php.61073736.repl.co/sxg.php?id=gzwsH265_4000
海南卫视,https://php.61073736.repl.co/sxg.php?id=hnws_4000
河南卫视,https://php.61073736.repl.co/sxg.php?id=hnws35_4000
黑龙江卫视,https://php.61073736.repl.co/sxg.php?id=hljwsH265_4000
湖北卫视,https://php.61073736.repl.co/sxg.php?id=hbwsH265_4000
吉林卫视,https://php.61073736.repl.co/sxg.php?id=jlwsH265_4000
江苏卫视,https://php.61073736.repl.co/sxg.php?id=jswsH265_4000
康巴卫视,https://php.61073736.repl.co/sxg.php?id=kbwsH264_2000
辽宁卫视,https://php.61073736.repl.co/sxg.php?id=lnwsHDH264_4000
内蒙古卫视,https://php.61073736.repl.co/sxg.php?id=nmgws_4000
山东教育卫视,https://php.61073736.repl.co/sxg.php?id=sdjy_4000
山东卫视,https://php.61073736.repl.co/sxg.php?id=sdwsH265_4000
山西卫视,https://php.61073736.repl.co/sxg.php?id=sxws42_4000
陕西卫视,https://php.61073736.repl.co/sxg.php?id=sxws_4000
